state_name,year,all_cause_yearly_deaths,natural_cause_yearly_deaths
Alabama,2014,47019,43498
Alabama,2015,49054,45257
Alabama,2016,51137,47012
Alabama,2017,52140,47897
Alabama,2018,53158,49061
Alabama,2019,53055,48842
Alabama,2020,58336,54370
Alaska,2014,4061,3422
Alaska,2015,4186,3479
Alaska,2016,4267,3560
Alaska,2017,4218,3476
Alaska,2018,4311,3628
Alaska,2019,4520,3726
Alaska,2020,4440,3767
Arizona,2014,52465,47259
Arizona,2015,54704,49246
Arizona,2016,56889,50896
Arizona,2017,58240,51901
Arizona,2018,60018,53458
Arizona,2019,60951,54088
Arizona,2020,71250,64193
Arkansas,2014,29953,27711
Arkansas,2015,30848,28456
Arkansas,2016,30860,28430
Arkansas,2017,31718,29125
Arkansas,2018,31761,29330
Arkansas,2019,32192,29819
Arkansas,2020,35320,32774
California,2014,249151,230460
California,2015,259432,239688
California,2016,261521,241086
California,2017,268396,247179
California,2018,269529,247960
California,2019,269955,247568
California,2020,293654,271909
Colorado,2014,36171,32106
Colorado,2015,36793,32545
Colorado,2016,37927,33446
Colorado,2017,38630,33867
Colorado,2018,39053,34258
Colorado,2019,39959,35016
Colorado,2020,44741,39778
Connecticut,2014,30096,27946
Connecticut,2015,30492,28142
Connecticut,2016,30471,27972
Connecticut,2017,31454,28813
Connecticut,2018,31370,28730
Connecticut,2019,31815,29005
Connecticut,2020,32935,30518
Delaware,2014,8380,7691
Delaware,2015,8532,7863
Delaware,2016,8947,8206
Delaware,2017,9101,8268
Delaware,2018,9464,8612
Delaware,2019,9231,8299
Delaware,2020,9784,8945
District of Columbia,2014,5537,5034
District of Columbia,2015,5674,5101
District of Columbia,2016,6027,5303
District of Columbia,2017,6214,5425
District of Columbia,2018,6176,5395
District of Columbia,2019,6022,5190
District of Columbia,2020,6925,6020
Florida,2014,189688,175285
Florida,2015,192851,177173
Florida,2016,198810,180859
Florida,2017,205533,186680
Florida,2018,207537,188798
Florida,2019,209164,189750
Florida,2020,231930,212090
Georgia,2014,78235,72064
Georgia,2015,80192,73627
Georgia,2016,81349,74291
Georgia,2017,83429,76221
Georgia,2018,85476,78487
Georgia,2019,85945,78669
Georgia,2020,94552,87355
Hawaii,2014,10955,10135
Hawaii,2015,11168,10300
Hawaii,2016,10986,10109
Hawaii,2017,11472,10516
Hawaii,2018,11499,10545
Hawaii,2019,11739,10680
Hawaii,2020,11611,10810
Idaho,2014,12621,11457
Idaho,2015,12933,11751
Idaho,2016,13235,11933
Idaho,2017,13866,12516
Idaho,2018,14133,12737
Idaho,2019,14302,12909
Idaho,2020,15498,14161
Illinois,2014,103387,96582
Illinois,2015,103493,96416
Illinois,2016,103497,95419
Illinois,2017,106289,97659
Illinois,2018,106612,98104
Illinois,2019,105544,97020
Illinois,2020,122172,113596
Indiana,2014,62136,57608
Indiana,2015,62937,58202
Indiana,2016,63683,58475
Indiana,2017,65846,60088
Indiana,2018,66080,60554
Indiana,2019,66243,60702
Indiana,2020,73164,67460
Iowa,2014,29207,27120
Iowa,2015,29173,27064
Iowa,2016,29139,26962
Iowa,2017,30141,27989
Iowa,2018,30120,28016
Iowa,2019,30565,28321
Iowa,2020,33467,31282
Kansas,2014,25181,23182
Kansas,2015,25772,23689
Kansas,2016,25341,23205
Kansas,2017,26063,23736
Kansas,2018,26404,24163
Kansas,2019,26663,24456
Kansas,2020,28983,26833
Kentucky,2014,44943,41301
Kentucky,2015,45990,42005
Kentucky,2016,47291,42974
Kentucky,2017,47877,43437
Kentucky,2018,48212,44023
Kentucky,2019,48653,44446
Kentucky,2020,50541,45894
Louisiana,2014,44324,40562
Louisiana,2015,43748,39763
Louisiana,2016,44160,40026
Louisiana,2017,45802,41462
Louisiana,2018,46073,41776
Louisiana,2019,45983,41500
Louisiana,2020,51818,47172
Maine,2014,13516,12524
Maine,2015,14264,13149
Maine,2016,14007,12806
Maine,2017,14456,13128
Maine,2018,14520,13187
Maine,2019,14826,13468
Maine,2020,15072,13691
Maryland,2014,46136,42624
Maryland,2015,46596,42689
Maryland,2016,48371,43478
Maryland,2017,49516,44244
Maryland,2018,50133,44853
Maryland,2019,50320,44898
Maryland,2020,56542,51154
Massachusetts,2014,55749,52022
Massachusetts,2015,58547,54286
Massachusetts,2016,56729,52100
Massachusetts,2017,59541,54722
Massachusetts,2018,59914,54977
Massachusetts,2019,59375,54411
Massachusetts,2020,66022,61853
Michigan,2014,93538,86831
Michigan,2015,93501,86523
Michigan,2016,94323,86725
Michigan,2017,95939,87898
Michigan,2018,97323,89245
Michigan,2019,97469,89559
Michigan,2020,108944,101468
Minnesota,2014,41718,38423
Minnesota,2015,41859,38335
Minnesota,2016,42866,39249
Minnesota,2017,44151,40326
Minnesota,2018,44631,40868
Minnesota,2019,45256,41293
Minnesota,2020,49239,45170
Mississippi,2014,29977,27524
Mississippi,2015,30897,28304
Mississippi,2016,30836,28290
Mississippi,2017,31347,28818
Mississippi,2018,31606,29002
Mississippi,2019,31949,29223
Mississippi,2020,36767,33903
Missouri,2014,60851,55849
Missouri,2015,61676,56387
Missouri,2016,61550,55865
Missouri,2017,64005,58046
Missouri,2018,65360,59076
Missouri,2019,64549,58431
Missouri,2020,70297,64374
Montana,2014,9390,8455
Montana,2015,9853,8849
Montana,2016,9888,8888
Montana,2017,10236,9225
Montana,2018,9961,8986
Montana,2019,10404,9340
Montana,2020,11173,10157
Nebraska,2014,16362,15209
Nebraska,2015,16891,15759
Nebraska,2016,16306,15161
Nebraska,2017,17032,15810
Nebraska,2018,17112,15937
Nebraska,2019,17149,15868
Nebraska,2020,18492,17270
Nevada,2014,22669,20560
Nevada,2015,23594,21246
Nevada,2016,24531,22034
Nevada,2017,25613,22873
Nevada,2018,25497,22768
Nevada,2019,26356,23811
Nevada,2020,28896,26324
New Hampshire,2014,11309,10277
New Hampshire,2015,11680,10587
New Hampshire,2016,11832,10647
New Hampshire,2017,12253,11016
New Hampshire,2018,12467,11172
New Hampshire,2019,12370,11163
New Hampshire,2020,12938,11920
New Jersey,2014,70515,66339
New Jersey,2015,70904,66501
New Jersey,2016,71662,66710
New Jersey,2017,73729,68045
New Jersey,2018,74649,68742
New Jersey,2019,73994,68267
New Jersey,2020,91171,86089
New Mexico,2014,17135,14934
New Mexico,2015,17000,14875
New Mexico,2016,17661,15464
New Mexico,2017,18003,15763
New Mexico,2018,18396,16054
New Mexico,2019,18832,16308
New Mexico,2020,20220,18222
New York,2014,96555,90730
New York,2015,98093,91822
New York,2016,96990,90078
New York,2017,99501,92426
New York,2018,100441,93638
New York,2019,100193,93628
New York,2020,113920,107540
North Carolina,2014,87152,80463
North Carolina,2015,89608,82484
North Carolina,2016,90878,83092
North Carolina,2017,93740,85261
North Carolina,2018,94557,86099
North Carolina,2019,96410,87753
North Carolina,2020,75491,69911
North Dakota,2014,6855,6221
North Dakota,2015,6844,6210
North Dakota,2016,6765,6166
North Dakota,2017,7069,6462
North Dakota,2018,7002,6398
North Dakota,2019,7373,6712
North Dakota,2020,7987,7406
Ohio,2014,112311,104018
Ohio,2015,117588,108273
Ohio,2016,118925,108324
Ohio,2017,123492,111673
Ohio,2018,124296,113674
Ohio,2019,123359,112183
Ohio,2020,129832,119512
Oklahoma,2014,37814,34285
Oklahoma,2015,38018,34424
Oklahoma,2016,37925,34118
Oklahoma,2017,39196,35479
Oklahoma,2018,39795,35988
Oklahoma,2019,39610,35967
Oklahoma,2020,41030,37759
Oregon,2014,34401,31553
Oregon,2015,35615,32615
Oregon,2016,35706,32577
Oregon,2017,36596,33372
Oregon,2018,36088,32849
Oregon,2019,37305,33858
Oregon,2020,37480,34348
Pennsylvania,2014,131093,121559
Pennsylvania,2015,133169,122974
Pennsylvania,2016,133764,122257
Pennsylvania,2017,136587,123773
Pennsylvania,2018,135677,123780
Pennsylvania,2019,134823,123060
Pennsylvania,2020,146077,134748
Rhode Island,2014,10043,9221
Rhode Island,2015,10338,9483
Rhode Island,2016,9972,9044
Rhode Island,2017,10401,9443
Rhode Island,2018,10431,9475
Rhode Island,2019,10561,9624
Rhode Island,2020,10971,10086
South Carolina,2014,44940,41295
South Carolina,2015,46122,42065
South Carolina,2016,46882,42616
South Carolina,2017,48267,43790
South Carolina,2018,49431,44717
South Carolina,2019,49845,45048
South Carolina,2020,56076,51119
South Dakota,2014,7722,7045
South Dakota,2015,7869,7123
South Dakota,2016,7890,7163
South Dakota,2017,8114,7314
South Dakota,2018,8087,7384
South Dakota,2019,8374,7606
South Dakota,2020,9267,8492
Tennessee,2014,68916,63157
Tennessee,2015,69887,63959
Tennessee,2016,71105,64624
Tennessee,2017,73437,66571
Tennessee,2018,74645,67739
Tennessee,2019,75562,68124
Tennessee,2020,82536,74780
Texas,2014,188417,173140
Texas,2015,191643,175989
Texas,2016,193726,177217
Texas,2017,200183,183274
Texas,2018,204462,187482
Texas,2019,205837,187803
Texas,2020,234769,216960
Utah,2014,17169,15177
Utah,2015,17780,15676
Utah,2016,18393,16266
Utah,2017,18608,16476
Utah,2018,18979,16773
Utah,2019,19363,17150
Utah,2020,21024,18851
Vermont,2014,5576,5090
Vermont,2015,5733,5253
Vermont,2016,5758,5204
Vermont,2017,5755,5230
Vermont,2018,5773,5162
Vermont,2019,5653,5124
Vermont,2020,5857,5313
Virginia,2014,63328,58625
Virginia,2015,64460,59441
Virginia,2016,65211,59785
Virginia,2017,67518,61896
Virginia,2018,68291,62624
Virginia,2019,69219,63555
Virginia,2020,74866,69186
Washington,2014,52336,47884
Washington,2015,54395,49628
Washington,2016,54474,49730
Washington,2017,56808,51531
Washington,2018,56783,51612
Washington,2019,58027,52758
Washington,2020,60050,54787
West Virginia,2014,21772,19823
West Virginia,2015,22072,20020
West Virginia,2016,21868,19552
West Virginia,2017,22484,19925
West Virginia,2018,22855,20483
West Virginia,2019,22829,20412
West Virginia,2020,20645,18504
Wisconsin,2014,50588,46492
Wisconsin,2015,46113,42052
Wisconsin,2016,51184,46381
Wisconsin,2017,52399,47344
Wisconsin,2018,53376,48322
Wisconsin,2019,53851,48569
Wisconsin,2020,59187,53924
Wyoming,2014,4366,3838
Wyoming,2015,4476,3885
Wyoming,2016,4333,3799
Wyoming,2017,4364,3835
Wyoming,2018,4647,4116
Wyoming,2019,4674,4071
Wyoming,2020,5124,4563
